((260.090576171875, 229.66354370117188), (349.5149841308594, 473.69610595703125), 90.31315612792969)
((260.3692321777344, 232.0599365234375), (279.6139831542969, 380.6746826171875), 89.56635284423828)
((259.7807922363281, 234.1217041015625), (229.411865234375, 312.36285400390625), 89.45567321777344)
((259.2694091796875, 235.87918090820312), (179.5034942626953, 244.56101989746094), 89.37413024902344)
((258.80999755859375, 237.1710205078125), (129.87660217285156, 177.28829956054688), 89.27469635009766)
((258.53143310546875, 238.166015625), (80.7704849243164, 110.28369140625), 88.91374206542969)
((259.38427734375, 235.92201232910156), (18.919353485107422, 25.815561294555664), 45.36149597167969)
((260.67889404296875, 230.03924560546875), (329.0604248046875, 446.8589172363281), 89.81938171386719)
